theme_b_breaking_evaluation_results.__id,theme_b_breaking_evaluation_results.condition_id,make_form.__id,theme_b_breaking_evaluation_results.distance,theme_b_breaking_evaluation_results.duration,theme_b_breaking_evaluation_results.uneven_wear,theme_b_breaking_evaluation_results.squeal_sound,theme_b_breaking_evaluation_results.date,theme_b_breaking_evaluation_results.image
7a08f765-d6f9-491b-8866-085f1e72cfbf,35960a3e-5d72-482b-82ae-f8b068a65a4d,0542caed-ebe0-47c2-8a9e-ec9dc137853c,25.6,19.5,true,28,2024/5/26,
2e23a4c8-46be-4d6a-b3af-493f23503aa5,43dcdd39-f9ed-456c-b1bc-17918e866061,229d1635-2af7-4bab-9c14-c610a7cc9aaf,9.98,8.55,false,9.8,2024/5/27,
776d1d18-6f39-4862-9045-3aac78645bdb,43dcdd39-f9ed-456c-b1bc-17918e866061,5a1e704e-c53e-4b91-b7f4-74782f9bf153,10.12,9.3,false,9.6,2024/5/28,
23da5cd4-c04d-486b-a554-9793cec77439,43dcdd39-f9ed-456c-b1bc-17918e866061,d9a8b647-4591-46f5-a6d5-a8d10b74c81b,10.88,8.9,false,10.34,2024/5/29,
4ee66c1b-9fc3-4e19-b4c6-4a9ade04f655,43dcdd39-f9ed-456c-b1bc-17918e866061,39109815-1f26-41d3-ad70-50201cc2c674,9.99,8.56,false,12.5,2024/5/30,
c79d22c4-988a-4354-b2d6-e2ce624d7a8b,43dcdd39-f9ed-456c-b1bc-17918e866061,0542caed-ebe0-47c2-8a9e-ec9dc137853c,10.54,9.5,false,11.5,2024/5/31,
007f85cd-9576-4ac8-ba9b-cf492185521c,e187d3b1-e610-49b3-9879-fd070b792ed3,229d1635-2af7-4bab-9c14-c610a7cc9aaf,11.9,10,false,15,2024/6/1,
e875854a-15f2-4a4c-954b-f0478859669f,e187d3b1-e610-49b3-9879-fd070b792ed3,5a1e704e-c53e-4b91-b7f4-74782f9bf153,12.86,11.5,false,16,2024/6/2,
93a4c21b-db3b-44e7-97f8-c027171f2605,e187d3b1-e610-49b3-9879-fd070b792ed3,d9a8b647-4591-46f5-a6d5-a8d10b74c81b,13.33,12.4,false,17,2024/6/3,
13e6d8a7-5836-4de1-b5e6-b75f8426be92,e187d3b1-e610-49b3-9879-fd070b792ed3,39109815-1f26-41d3-ad70-50201cc2c674,12.55,11,false,14,2024/6/4,
868e3362-276f-4bd1-8549-154e11c4f672,e187d3b1-e610-49b3-9879-fd070b792ed3,0542caed-ebe0-47c2-8a9e-ec9dc137853c,13.8,12.5,false,15,2024/6/5,
9d762953-2710-4c07-ac94-69093bcc76d4,35960a3e-5d72-482b-82ae-f8b068a65a4d,229d1635-2af7-4bab-9c14-c610a7cc9aaf,19.55,18.5,false,14,2024/6/6,
5ea3c8fd-f025-44b9-ae34-57b3a2a3a78d,35960a3e-5d72-482b-82ae-f8b068a65a4d,5a1e704e-c53e-4b91-b7f4-74782f9bf153,19,18.2,false,14,2024/6/7,
fa8a4676-b181-4036-9932-6a424bf1a912,35960a3e-5d72-482b-82ae-f8b068a65a4d,d9a8b647-4591-46f5-a6d5-a8d10b74c81b,20.53,19.2,true,26,2024/6/8,
626d1544-0e48-4da9-aecb-517a83b36e73,35960a3e-5d72-482b-82ae-f8b068a65a4d,39109815-1f26-41d3-ad70-50201cc2c674,23.22,20.1,true,33,2024/6/9,
5895591c-2123-4762-9bc7-07d7555a8552,35960a3e-5d72-482b-82ae-f8b068a65a4d,0542caed-ebe0-47c2-8a9e-ec9dc137853c,24.5,22.5,true,32,2024/6/10,
